BASE_YY,CLASS_NM,SIDO_NM,유_특수1정_CNT1,유_특수2정_CNT1,유_일반_CNT1,초_특수1정_CNT1,초_특수2정_CNT1,초_일반_CNT1,중고_특수1정_CNT1,중고_특수2정_CNT1,중고_일반_CNT1
2010,특수학급,강원,5,3,0,101,88,3,59,27,1
2010,특수학급,충북,0,7,0,59,88,0,41,60,1
2010,특수학급,충남,3,22,0,161,118,1,82,91,0
2010,특수학급,전북,4,3,1,53,51,74,42,29,2
2010,특수학급,전남,5,12,0,133,109,0,81,29,0
2010,특수학급,경북,2,2,0,197,42,21,76,71,1
2010,특수학급,경남,5,6,0,141,95,45,61,124,6
2010,특수학급,제주,2,0,0,9,4,30,15,12,5
2011,특수학급,서울,23,13,0,406,246,0,248,154,0
2011,특수학급,부산,4,2,4,182,41,102,97,75,4
2011,특수학급,대구,1,10,0,124,61,26,66,61,2
2011,특수학급,인천,9,13,0,159,108,9,101,56,0
2011,특수학급,광주,4,4,0,82,31,2,49,48,0
2011,특수학급,대전,8,12,0,68,72,0,48,59,0
2011,특수학급,울산,2,5,0,26,78,1,18,59,0
2011,특수학급,경기,19,64,0,459,652,1,279,822,5
2011,특수학급,강원,3,4,0,118,68,2,70,20,0
2011,특수학급,충북,0,9,0,73,87,0,53,62,0
2011,특수학급,충남,2,24,0,176,104,0,91,106,0
2011,특수학급,전북,2,4,3,67,61,51,51,34,1
2011,특수학급,전남,5,9,1,137,109,6,83,47,1
2011,특수학급,경북,2,2,0,201,40,23,88,75,0
2011,특수학급,경남,2,9,1,183,90,37,74,149,6
2011,특수학급,제주,0,0,2,17,9,23,21,13,0
2012,특수학급,서울,25,13,0,408,271,3,296,158,0
2012,특수학급,부산,9,2,1,206,84,36,115,79,1
2012,특수학급,대구,2,10,0,152,63,0,82,58,0
2012,특수학급,인천,9,15,0,169,108,0,101,74,0
2012,특수학급,광주,4,4,0,96,48,0,69,47,0
2012,특수학급,대전,9,18,0,58,85,0,49,64,0
2012,특수학급,울산,0,7,0,27,80,1,26,58,0
2012,특수학급,경기,26,76,0,456,718,0,304,953,1
2012,특수학급,강원,4,4,1,133,56,3,81,19,0
2012,특수학급,충북,2,12,0,74,94,0,68,55,0
2012,특수학급,충남,11,16,0,186,89,0,115,105,0
2012,특수학급,전북,0,3,4,74,62,39,52,52,0
2012,특수학급,전남,15,2,2,117,77,5,93,49,4
2012,특수학급,경북,3,4,0,173,58,18,95,85,0
2012,특수학급,경남,1,14,1,180,84,41,91,158,4
2012,특수학급,제주,4,0,0,46,5,0,24,15,0
2013,특수학급,서울,20,20,0,465,221,0,316,175,0
2013,특수학급,부산,5,4,0,282,48,0,129,69,0
2013,특수학급,대구,3,9,0,153,67,0,91,62,0
2013,특수학급,인천,8,20,0,182,104,1,106,72,0
2013,특수학급,광주,5,3,0,92,44,0,67,51,0
2013,특수학급,대전,7,22,0,74,70,0,57,57,0
2013,특수학급,울산,1,7,0,35,78,0,32,65,0
2013,특수학급,경기,21,76,0,480,691,1,309,992,2
2013,특수학급,강원,5,9,0,157,40,3,90,21,0
2013,특수학급,충북,2,16,0,78,99,1,61,71,0
2013,특수학급,세종,1,0,0,12,6,0,10,3,0
2013,특수학급,충남,12,19,0,190,71,0,115,98,0
2013,특수학급,전북,2,4,3,106,51,40,51,62,2
2013,특수학급,전남,8,14,0,148,111,3,93,100,5
2013,특수학급,경북,3,5,0,178,64,23,108,86,1
2013,특수학급,경남,3,16,0,178,90,34,101,174,2
2013,특수학급,제주,1,0,3,21,8,26,34,11,0
2014,특수학급,서울,24,21,0,481,191,2,322,200,2
2014,특수학급,부산,6,11,0,221,51,54,134,71,5
2014,특수학급,대구,3,12,0,147,66,10,83,77,1
2014,특수학급,인천,11,31,0,181,105,1,104,88,0
2014,특수학급,광주,5,6,0,89,46,0,70,49,0
2014,특수학급,대전,10,24,0,82,66,0,63,52,0
2014,특수학급,울산,4,4,0,34,82,0,30,73,0
2014,특수학급,세종,2,2,0,13,6,0,13,5,0
2014,특수학급,경기,29,117,0,492,727,0,319,1109,0
2014,특수학급,강원,7,7,0,164,44,0,94,20,0
2014,특수학급,충북,3,18,0,91,94,0,67,78,1
2014,특수학급,충남,17,18,0,190,85,0,118,114,0
2014,특수학급,전북,4,5,0,135,65,0,52,70,0
2014,특수학급,전남,9,15,1,141,116,1,96,120,1
2014,특수학급,경북,3,3,0,135,91,15,62,91,7
2014,특수학급,경남,5,17,0,181,92,36,115,181,2
2014,특수학급,제주,3,1,0,48,9,0,43,6,0
2015,특수학급,서울,24,30,0,483,184,0,316,214,0
2015,특수학급,부산,4,14,0,255,71,0,142,73,0
2015,특수학급,대구,2,13,0,154,69,0,75,87,0
2015,특수학급,인천,12,42,0,196,94,0,119,83,0
2015,특수학급,광주,4,9,0,93,39,0,79,44,0
2015,특수학급,대전,14,22,0,84,69,0,64,57,0
2015,특수학급,울산,4,7,0,46,71,0,36,65,0
2015,특수학급,세종,2,8,0,17,12,0,17,15,0
2015,특수학급,경기,26,146,3,520,706,0,354,1086,2
2015,특수학급,강원,4,11,1,155,51,5,106,22,2
2015,특수학급,충북,4,21,2,103,98,11,77,83,13
2015,특수학급,충남,17,23,1,199,90,1,118,123,4
2015,특수학급,전북,5,7,0,119,98,1,62,56,1
